Item #,RZ1(AUD)
:0527561,316.94
:0527563,91.15
:0527565,316.94
:0527568,302.1
:0527570,274.54
:0527572,380.54
:0527574,380.54
:0527577,391.14
:0527581,21.19
:0527583,316.94
:0527588,295.74
:0527590,316.94
:0527593,391.14
:0527595,94.34
:0527597,274.54
:0527600,210.94
:0527603,21.19
:0527605,391.14
:0527607,380.54
:0527610,316.94
:0527613,295.74
:0527614,91.15
:0527618,274.54
:0527620,94.34
:0527623,274.54
:0527626,380.54
:0527627,21.19
:0527629,316.94
:0527631,369.94
:0527633,316.94
:0527635,391.14
:0527637,221.54
:0527639,274.54
:0527641,210.94
:0527642,263.94
:0527645,91.15
:0527648,221.54
:0527650,263.94
:0527652,210.94
:0527654,380.54
:0527656,274.54
:0527657,369.94
:0527660,91.15
:0527662,380.54
:0527664,263.94
:0527667,316.94
:0527669,210.94
:0527672,221.54
:0527674,274.54
:0527676,263.94
:0527678,380.54
:0527680,263.94
:0527682,210.94
:0527685,91.15
:0527687,380.54
:0527691,274.54
:0527692,210.94
:0527693,316.94
:0527694,91.15
:0527696,91.15
:0527697,274.54
:0527698,210.94
:0527699,263.94
:0550563,581.94
:0550564,931.74
:0550566,581.94
:0550567,581.94
:0550568,581.94
:0550569,581.94
:0550570,581.94
:0550571,931.74
:0550572,931.74
:0550573,581.94
:0550577,931.74
:0550579,581.94
:0550581,931.74
:0550583,581.94
:0550585,581.94
:0550587,581.94
:0550589,931.74
:0550591,931.74
:0550593,931.74
:0550596,581.94
:0550598,931.74
:0550600,931.74
:0550602,931.74
:0550605,581.94
:0550608,931.74
:0550610,931.74
:0550613,931.74
:0550614,581.94
:0550617,581.94
:0550620,581.94
:0550623,581.94
:0550625,931.74
:0550627,581.94
:0550629,931.74
:0550631,931.74
:0550633,581.94
:0550635,581.94
:0550636,931.74
:0550638,931.74
:0550641,931.74
:0550643,931.74
:0550645,581.94
:0550647,931.74
:0550649,581.94
:0550651,581.94
:0550652,931.74
:0550656,931.74
:0550658,581.94
:0550660,581.94
:0550661,931.74
:0550663,931.74
:0550666,581.94
:0550668,931.74
:0550670,931.74
:0550672,581.94
:0550674,931.74
:0550676,581.94
:0550677,931.74
:0550679,931.74
:0550681,931.74
:0550683,581.94
:0550685,931.74
:0550687,581.94
:0550688,581.94
:0550690,581.94
:0550692,931.74
:0550694,581.94
:0550696,581.94
:0550699,581.94
:0550702,581.94
:0550704,581.94
:0550705,931.74
:0550708,581.94
:0550710,581.94
:0550712,931.74
:0550714,931.74
:0550716,581.94
:0550718,931.74
:0550720,581.94
:0550722,931.74
:0550724,931.74
:0550726,931.74
:0550728,931.74
:0550730,581.94
:0550732,581.94
:0550734,581.94
:0550737,931.74
:0550739,581.94
:0550740,931.74
:0550742,581.94
:0550744,931.74
:0550746,581.94
:0550748,931.74
:0550750,931.74
:0550752,931.74
:0550754,581.94
:0550756,931.74
:0550762,581.94
:0550763,931.74
:0550765,931.74
:0550768,931.74
:0550770,581.94
:0550772,581.94
:0550774,581.94
:0550776,931.74
:0550778,581.94
:0550780,931.74
:0550782,931.74
:0550784,581.94
:0550786,931.74
:0550788,581.94
:0550790,581.94
:0550792,581.94
:0550794,931.74
:0550796,931.74
:0550798,581.94
:0550800,931.74
:0550802,931.74
:0550804,581.94
:0550806,581.94
:0550808,581.94
:0550809,581.94
:0550811,931.74
:0550813,581.94
:0550815,931.74
:0550817,931.74
:0550818,931.74
:0550819,581.94
:0550821,581.94
:0550823,581.94
:0550825,581.94
:0550827,931.74
:0550828,581.94
:0550830,931.74
:0550832,931.74
:0550835,931.74
:0550837,581.94
:0550839,931.74
:0550841,931.74
:0550843,931.74
:0550845,931.74
:0550847,581.94
:0550849,581.94
:0550851,581.94
:0550853,931.74
:0550855,931.74
:0550857,581.94
:0550860,581.94
:0550862,581.94
:0550864,931.74
:0550866,931.74
:0550868,931.74
:0550870,931.74
:0550872,581.94
:0550874,581.94
:0550876,581.94
:0550877,931.74
:0550879,581.94
:0550881,931.74
:0550883,931.74
:0550885,931.74
:0550887,931.74
:0550890,931.74
:0550892,581.94
:0550894,931.74
:0550896,581.94
:0550899,931.74
:0550901,581.94
:0550902,931.74
:0550906,931.74
:0550908,581.94
:0550910,931.74
:0550912,581.94
:0550914,931.74
:0550916,931.74
:0550918,581.94
:0550920,581.94
:0550922,581.94
:0550924,581.94
:0550926,581.94
:0550928,581.94
:0550930,581.94
:0550932,581.94
:0550934,931.74
:0550936,581.94
:0550938,581.94
:0550940,931.74
:0550942,931.74
:0550944,581.94
:0550946,581.94
:0550948,931.74
:0550950,581.94
:0550952,581.94
:0550953,581.94
:0550954,931.74
:0550956,931.74
:0550959,581.94
:0550961,931.74
:0550963,931.74
:0550965,931.74
:0550967,581.94
:0550969,581.94
:0550971,931.74
:0550973,581.94
:0550975,931.74
:0550977,581.94
:0550979,931.74
:0550981,581.94
:0550983,931.74
:0550985,581.94
:0550987,581.94
:0550989,581.94
:0550991,931.74
:0550993,931.74
:0550994,581.94
:0550996,931.74
:0550999,931.74
:0551001,931.74
:0551004,581.94
:0551006,581.94
:0551008,581.94
:0551010,931.74
:0551012,931.74
:0551015,931.74
:0551016,581.94
:0551017,931.74
:0551019,581.94
:0551021,581.94
:0551023,581.94
:0551025,931.74
:0551028,931.74
:0551030,931.74
:0551032,581.94
:0551034,581.94
:0551036,581.94
:0551037,931.74
:0551039,931.74
:0551041,931.74
:0551043,581.94
:0551045,581.94
:0551046,931.74
:0551049,931.74
:0551051,931.74
:0551053,931.74
:0551055,581.94
:0551057,931.74
:0551060,931.74
:0551062,581.94
:0551066,931.74
:0551070,931.74
:0551071,931.74
:0551072,581.94
:0551073,581.94
:0551077,581.94
:0551079,581.94
:0551081,931.74
:0551083,931.74
:0551085,581.94
:0551087,581.94
:0551089,581.94
:0551092,581.94
:0551094,931.74
:0551095,581.94
:0551098,581.94
:0551100,931.74
:0551102,931.74
:0551104,931.74
:0551106,581.94
:0551108,931.74
:0551110,931.74
:0551112,581.94
:0551114,581.94
:0551115,931.74
:0551117,581.94
:0551119,931.74
:0551121,581.94
:0551122,931.74
:0551123,581.94
:0551124,581.94
:0551125,931.74
:0558159,232.14
:0558160,369.94
:0558161,369.94
:0558162,369.94
:0558164,232.14
:0558165,232.14
:0558166,232.14
:0558167,232.14
:0558168,369.94
:0558169,369.94
:0558170,232.14
:0558171,369.94
:0558172,369.94
:0558173,232.14
:0558174,369.94
:0558175,232.14
:0558176,369.94
:0558178,369.94
:0558179,369.94
:0558180,369.94
:0558182,369.94
:0558194,232.14
:0558197,232.14
:0558199,369.94
:0558201,369.94
:0558204,232.14
:0558208,232.14
:0558210,232.14
:0558213,232.14
:0558215,369.94
:0558217,369.94
:0558219,369.94
:0558221,232.14
:0558223,232.14
:0558225,232.14
:0558202,232.14
:0558203,232.14
:0558231,369.94
:0558233,369.94
:0558235,232.14
:0558211,232.14
:0558214,369.94
:0558241,454.74
:0558243,369.94
:0558220,369.94
:0558222,369.94
:0558224,232.14
:0558251,232.14
:0558253,369.94
:0558230,369.94
:0558232,232.14
:0558259,232.14
:0558607,232.14
:0558609,369.94
:0558611,339.2
:0558613,369.94
:0558615,339.2
:0558616,369.94
:0558619,232.14
:0558621,369.94
:0558623,232.14
:0558625,369.94
:0558628,232.14
:0558630,369.94
:0558633,232.14
:0558635,369.94
:0558637,232.14
:0558639,232.14
:0558641,232.14
:0558642,232.14
:0558261,369.94
:0558263,232.14
:0558240,369.94
:0558242,232.14
:0558270,369.94
:0558272,232.14
:0558274,232.14
:0558250,232.14
:0558252,369.94
:0558280,369.94
:0558288,369.94
:0558291,232.14
:0558293,232.14
:0558295,232.14
:0558297,369.94
:0558298,369.94
:0558300,369.94
:0558302,369.94
:0558307,232.14
:0558309,232.14
:0558313,369.94
:0558314,369.94
:0558316,369.94
:0558319,232.14
:0558320,232.14
:0558323,232.14
:0558325,369.94
:0558327,232.14
:0558329,369.94
:0558332,232.14
:0558335,369.94
:0558337,232.14
:0558339,369.94
:0558341,232.14
:0558342,339.2
:0558344,232.14
:0558346,232.14
:0558356,369.94
:0558358,339.2
:0558360,232.14
:0558363,232.14
:0558365,232.14
:0558368,339.2
:0558370,369.94
:0558373,232.14
:0558374,232.14
:0558376,232.14
:0558379,369.94
:0558381,339.2
:0558382,339.2
:0558385,232.14
:0558387,232.14
:0558389,232.14
:0558391,369.94
:0558392,369.94
:0558395,369.94
:0558398,232.14
:0558400,339.2
:0558402,369.94
:0558404,369.94
:0558406,232.14
:0558408,339.2
:0558410,369.94
:0558412,232.14
:0558414,232.14
:0558416,232.14
:0558418,369.94
:0558421,232.14
:0558423,339.2
:0558425,339.2
:0558426,369.94
:0558429,232.14
:0558431,232.14
:0558433,232.14
:0558435,232.14
:0558437,339.2
:0558438,339.2
:0558441,369.94
:0558443,232.14
:0558445,232.14
:0558447,232.14
:0558449,232.14
:0558451,369.94
:0558453,369.94
:0558455,369.94
:0558457,232.14
:0558459,232.14
:0558462,232.14
:0558464,369.94
:0558467,369.94
:0558469,369.94
:0558471,232.14
:0558472,369.94
:0558474,369.94
:0558476,232.14
:0558478,339.2
:0558480,232.14
:0558484,232.14
:0558486,369.94
:0558488,339.2
:0558490,339.2
:0558492,232.14
:0558494,232.14
:0558496,232.14
:0558498,339.2
:0558500,232.14
:0558504,369.94
:0558506,339.2
:0558508,232.14
:0558510,369.94
:0558512,232.14
:0558514,369.94
:0558516,232.14
:0558517,369.94
:0558518,369.94
:0558522,232.14
:0558524,232.14
:0558526,232.14
:0558529,369.94
:0558531,232.14
:0558534,369.94
:0558536,232.14
:0558538,232.14
:0558540,232.14
:0558542,369.94
:0558544,232.14
:0558546,232.14
:0558548,369.94
:0558550,232.14
:0558552,232.14
:0558554,339.2
:0558556,232.14
:0558558,369.94
:0558560,369.94
:0558562,369.94
:0558565,339.2
:0558567,369.94
:0558569,232.14
:0558571,369.94
:0558574,369.94
:0558584,232.14
:0558586,339.2
:0558589,339.2
:0558591,339.2
:0558593,369.94
:0558595,369.94
:0558596,369.94
:0558599,232.14
:0558601,339.2
:0558603,369.94
:0558646,369.94
:0558648,232.14
:0558649,369.94
:0558650,339.2
:0558652,232.14
:0558653,369.94
:0558654,339.2
:0558655,369.94
:0558656,369.94
:0558657,232.14
:0558658,232.14
:0558660,369.94
:0558662,369.94
:0558664,369.94
:0558666,339.2
:0558667,369.94
:0558670,232.14
:0558672,369.94
:0558674,232.14
:0558676,232.14
:0558678,369.94
:0558681,369.94
:0558683,232.14
:0558685,369.94
:0558687,369.94
:0558689,232.14
:0558691,232.14
:0558693,369.94
:0558695,369.94
:0558698,339.2
:0558700,369.94
:0558705,232.14
:0558707,369.94
:0558711,339.2
:0558713,339.2
:0558715,369.94
:0558717,339.2
:0558719,232.14
:0558721,369.94
:0558724,232.14
:0558728,369.94
:0558730,232.14
:0558732,339.2
:0558735,369.94
:0558737,339.2
:0558739,232.14
:0558741,369.94
:0558743,232.14
:0558744,369.94
:0558746,339.2
:0558748,369.94
:0558750,232.14
:0558752,232.14
:0558753,232.14
:0558755,369.94
:0558757,232.14
:0558766,369.94
:0558767,232.14
:0558769,369.94
:0558771,232.14
:0558773,232.14
:0558775,232.14
:0558777,369.94
:0558779,339.2
:0558781,339.2
:0558783,232.14
:0558785,232.14
:0558787,232.14
:0558789,339.2
:0558791,369.94
:0558793,339.2
:0558795,232.14
:0558797,232.14
:0558798,232.14
:0558800,369.94
:0558803,339.2
:0558805,339.2
:0558807,232.14
:0558811,232.14
:0558813,369.94
:0558815,339.2
:0558818,369.94
:0558820,232.14
:0558822,232.14
:0558824,232.14
:0558825,369.94
:0558827,369.94
:0558829,369.94
:0558832,232.14
:0558834,232.14
:0558835,369.94
:0558837,232.14
:0558839,369.94
:0558841,369.94
:0558844,232.14
:0558846,232.14
:0558850,369.94
:0558852,232.14
:0558854,369.94
:0558856,454.74
:0558858,454.74
:0558860,232.14
:0558862,369.94
:0558865,232.14
:0558867,369.94
:0558869,454.74
:0558871,454.74
:0558873,369.94
:0558875,369.94
:0558877,369.94
:0558879,369.94
:0558881,369.94
:0558883,232.14
:0558885,369.94
:0558887,232.14
:0558889,369.94
:0558891,232.14
:0558892,369.94
:0558894,369.94
:0558896,369.94
:0558898,232.14
:0558900,369.94
:0558902,369.94
:0558904,454.74
:0558906,232.14
:0558908,369.94
:0558910,369.94
:0558912,232.14
:0558914,454.74
:0558916,454.74
:0558918,454.74
:0558920,232.14
:0558922,369.94
:0558924,369.94
:0558926,369.94
:0558928,369.94
:0558931,454.74
:0558933,232.14
:0558935,369.94
:0558938,369.94
:0558940,232.14
:0558942,369.94
:0558944,369.94
:0558946,369.94
:0558948,232.14
:0558952,232.14
:0558954,232.14
:0558956,369.94
:0558959,232.14
:0558962,369.94
:0558964,369.94
:0558966,232.14
:0558968,232.14
:0558970,232.14
:0558971,232.14
:0558973,369.94
:0558975,232.14
:0558976,454.74
:0558977,232.14
:0558978,232.14
:0558980,369.94
:0558982,454.74
:0558985,369.94
:0558987,369.94
:0558989,369.94
:0558991,454.74
:0558993,369.94
:0558995,232.14
:0558997,369.94
:0558999,232.14
:0559001,369.94
:0559004,454.74
:0559006,454.74
:0559008,232.14
:0559010,369.94
:0559013,232.14
:0559015,369.94
:0559017,232.14
:0559021,369.94
:0559026,369.94
:0559029,369.94
:0559031,369.94
:0559034,232.14
:0559036,339.2
:0559038,232.14
:0559040,369.94
:0559042,369.94
:0559045,369.94
:0559047,369.94
:0559049,454.74
:0559050,232.14
:0559052,454.74
:0559056,369.94
:0559058,454.74
:0559061,369.94
:0559062,454.74
:0559064,369.94
:0559066,232.14
:0559068,369.94
:0559069,232.14
:0559071,369.94
:0559073,369.94
:0559076,369.94
:0559077,369.94
:0559079,232.14
:0559081,232.14
:0559083,232.14
:0559085,232.14
:0559087,369.94
:0559088,369.94
:0559090,369.94
:0559093,369.94
:0559094,232.14
:0559096,232.14
:0559098,232.14
:0559100,369.94
:0559102,369.94
:0559104,369.94
:0559106,454.74
:0559108,454.74
:0559110,232.14
:0559112,369.94
:0559116,369.94
:0559118,454.74
:0559120,454.74
:0559122,454.74
:0559124,232.14
:0559126,369.94
:0559128,369.94
:0559130,232.14
:0559132,232.14
:0559136,369.94
:0559138,232.14
:0559140,369.94
:0559142,232.14
:0559144,232.14
:0559146,232.14
:0559147,232.14
:0559149,232.14
:0559151,232.14
:0559153,232.14
:0559154,232.14
:0559155,454.74
:0559156,369.94
:0559157,369.94
:0559162,369.94
:0559165,454.74
:0559166,454.74
:0559167,454.74
:0559169,232.14
:0559171,232.14
:0559173,369.94
:0559176,454.74
:0559177,232.14
:0559180,369.94
:0559181,232.14
:0559184,232.14
:0559186,369.94
:0559188,369.94
:0559190,232.14
:0559192,369.94
:0559194,232.14
:0559196,232.14
:0559197,369.94
:0559199,369.94
:0559201,454.74
:0559203,369.94
:0559206,232.14
:0559208,232.14
:0559210,232.14
:0559212,232.14
:0559213,369.94
:0559217,369.94
:0559219,454.74
:0559221,232.14
:0559224,232.14
:0559226,454.74
:0559229,232.14
:0559231,369.94
:0559233,369.94
:0559235,369.94
:0559237,369.94
:0559239,232.14
:0559241,369.94
:0559243,369.94
:0559245,232.14
:0559247,454.74
:0559249,369.94
:0559251,232.14
:0559255,369.94
:0559259,232.14
:0559261,232.14
:0559263,369.94
:0559265,232.14
:0559267,232.14
:0559270,232.14
:0559272,454.74
:0559273,454.74
:0559276,369.94
:0559278,369.94
:0559281,232.14
:0559283,454.74
:0559285,232.14
:0559287,369.94
:0559289,369.94
:0559292,232.14
:0559294,369.94
:0559296,369.94
:0559305,454.74
:0559307,232.14
:0559309,369.94
:0559311,232.14
:0559313,232.14
:0559315,369.94
:0559317,232.14
:0559319,232.14
:0559321,232.14
:0559323,454.74
:0559325,232.14
:0559327,232.14
:0559329,369.94
:0559331,232.14
:0559333,369.94
:0559335,232.14
:0559336,232.14
:0559337,454.74
:0559338,232.14
:0559339,369.94
:0559340,369.94
:0559341,454.74
:0559342,454.74
:0559344,369.94
:0559345,369.94
:0559346,454.74
:0559347,369.94
:0559348,369.94
:0559349,369.94
:0559350,369.94
:0559351,232.14
:0559352,232.14
:0561675,656.14
:0561676,634.94
:0561677,1005.94
:0561678,634.94
:0561679,1005.94
:0561680,656.14
:0561681,634.94
:0561682,274.54
:0561683,634.94
:0561684,656.14
:0561685,656.14
:0561686,634.94
:0561687,274.54
:0561688,274.54
:0561689,274.54
:0561690,274.54
:0561692,634.94
:0561694,1005.94
:0561696,656.14
:0561699,274.54
:0561701,274.54
:0561704,634.94
:0561707,1005.94
:0561709,634.94
:0561711,656.14
:0561713,656.14
:0561715,656.14
:0561717,1005.94
:0561720,274.54
:0561723,1005.94
:0561725,1005.94
:0561727,634.94
:0561729,274.54
:0561731,634.94
:0561733,656.14
:0561735,1005.94
:0561737,1005.94
:0561739,1005.94
:0561740,656.14
:0561741,274.54
:0579167,49
:0441096,157.94
:0604137,221.54
:0604138,168.54
:0604139,168.54
:0604140,232.14
:0604141,221.54
:0604142,221.54
:0604143,168.54
:0604144,232.14
:0604145,168.54
:0604146,221.54
:0604147,168.54
:0604148,232.14
:0604149,221.54
:0604150,232.14
:0604151,168.54
:0604152,232.14
:0604153,168.54
:0604154,221.54
:0604155,221.54
:0604156,168.54
:0604157,221.54
:0604158,168.54
:0604159,232.14
:0604160,168.54
:0604162,232.14
:0604163,168.54
:0604164,221.54
:0604165,168.54
:0604166,168.54
:0604167,168.54
:0604168,168.54
:0604169,232.14
:0620867,369.94
:0620868,369.94
:0620853,369.94
:0620855,369.94
:0620856,369.94
:0620857,369.94
:0620858,369.94
:0620859,369.94
:0620860,369.94
:0620861,369.94
:0620871,369.94
:0620874,369.94
:0620877,369.94
:0620879,369.94
:0620882,369.94
:0620884,369.94
:0620886,369.94
:0620889,369.94
:0620891,369.94
:0620893,369.94
:0620895,369.94
:0620900,369.94
:0620903,369.94
:0620905,369.94
:0620907,369.94
:0620908,369.94
:0620911,369.94
:0620912,369.94
:0620915,369.94
:0620917,369.94
:0620920,369.94
:0620922,369.94
:0620924,369.94
:0620926,369.94
:0620929,369.94
:0620931,369.94
:0620933,369.94
:0620936,369.94
:0620938,369.94
:0620940,369.94
:0620942,369.94
:0620945,369.94
:0620947,369.94
:0620949,369.94
:0620950,369.94
:0620952,369.94
:0620953,369.94
:0620954,369.94
:0620863,369.94
:0630431,295.74
:0630432,295.74
:0630433,369.94
:0630434,422.94
:0630435,295.74
:0630436,295.74
:0630437,422.94
:0630438,422.94
:0630439,422.94
:0630440,369.94
:0630441,422.94
:0630442,369.94
:0630443,338.14
:0630444,369.94
:0630445,295.74
:0630446,369.94
:0630447,52.97
:0630448,422.94
:0630449,369.94
:0630450,369.94
:0630451,422.94
:0630452,295.74
:0630455,369.94
:0630457,422.94
:0630458,369.94
:0630461,422.94
:0630462,295.74
:0630465,295.74
:0630467,369.94
:0630468,295.74
:0638964,179.14
:0638966,253.34
:0638944,210.94
:0638945,560.74
:0638946,221.54
:0638947,369.94
:0638949,401.74
:0638950,380.54
:0638951,210.94
:0638957,560.74
:0638958,253.34
:0638960,253.34
:0638963,401.74
:0640659,232.14
:0640660,539.54
:0640661,316.94
:0640662,613.74
:0638969,253.34
:0638971,762.14
:0638974,221.54
:0638976,444.14
:0638978,253.34
:0638980,560.74
:0638982,560.74
:0638984,221.54
:0638987,253.34
:0638988,179.14
:0638990,444.14
:0638992,221.54
:0638994,444.14
:0638996,295.74
:0638999,401.74
:0639001,210.94
:0639003,560.74
:0639005,401.74
:0639007,762.14
:0639009,221.54
:0639011,179.14
:0639013,401.74
:0639015,295.74
:0639017,210.94
:0639019,560.74
:0639021,253.34
:0639023,401.74
:0639025,179.14
:0639027,444.14
:0639029,253.34
:0639032,253.34
:0639034,295.74
:0639035,645.54
:0639038,656.14
:0639040,253.34
:0639042,444.14
:0639044,380.54
:0639046,645.54
:0639049,221.54
:0639051,656.14
:0639052,210.94
:0639054,253.34
:0639056,369.94
:0639058,369.94
:0639060,444.14
:0639062,380.54
:0639064,380.54
:0639066,179.14
:0639068,210.94
:0639070,444.14
:0639072,369.94
:0639074,656.14
:0639076,444.14
:0639078,210.94
:0639080,369.94
:0639082,253.34
:0639084,380.54
:0639086,380.54
:0639088,369.94
:0639090,369.94
:0639092,221.54
:0639094,560.74
:0639096,253.34
:0639098,369.94
:0639100,444.14
:0639102,210.94
:0639104,221.54
:0639106,210.94
:0639109,179.14
:0639111,380.54
:0639113,560.74
:0639115,221.54
:0639117,253.34
:0639119,369.94
:0639121,179.14
:0639123,179.14
:0639125,380.54
:0639127,656.14
:0639129,179.14
:0639131,518.34
:0639133,221.54
:0639135,359.34
:0639137,475.94
:0639139,369.94
:0639141,518.34
:0639143,645.54
:0639145,359.34
:0639147,210.94
:0639149,475.94
:0639152,666.74
:0639154,656.14
:0639156,783.34
:0639158,200.34
:0639160,200.34
:0639162,200.34
:0639164,645.54
:0639166,518.34
:0639168,475.94
:0639170,645.54
:0639171,475.94
:0639173,242.74
:0639175,783.34
:0639178,475.94
:0639180,518.34
:0639182,359.34
:0639184,242.74
:0639186,359.34
:0639188,783.34
:0639190,783.34
:0639191,200.34
:0639193,200.34
:0639195,518.34
:0639197,348.74
:0639199,359.34
:0639201,645.54
:0639203,475.94
:0639205,348.74
:0639207,783.34
:0639209,348.74
:0639211,433.54
:0639213,475.94
:0639215,666.74
:0639217,348.74
:0639219,359.34
:0639221,433.54
:0639223,433.54
:0639225,645.54
:0639227,475.94
:0639229,475.94
:0639230,316.94
:0639232,666.74
:0639234,666.74
:0639235,709.14
:0639236,359.34
:0639239,200.34
:0639240,348.74
:0639243,200.34
:0639245,666.74
:0639248,433.54
:0639250,316.94
:0639251,316.94
:0639254,666.74
:0639256,762.14
:0639257,433.54
:0639259,762.14
:0639261,316.94
:0639263,645.54
:0639266,475.94
:0639271,709.14
:0639272,359.34
:0639274,316.94
:0639276,348.74
:0639278,200.34
:0639279,666.74
:0639281,709.14
:0639283,433.54
:0639285,666.74
:0639287,316.94
:0639289,645.54
:0639291,359.34
:0640655,369.94
:0640656,613.74
:0640657,316.94
:0640658,539.54
:0639293,709.14
:0639295,709.14
:0639297,518.34
:0639299,433.54
:0639301,645.54
:0639303,200.34
:0639305,348.74
:0639307,433.54
:0639309,645.54
:0639311,709.14
:0639313,560.74
:0639314,666.74
:0639317,401.74
:0639319,666.74
:0639321,348.74
:0639323,221.54
:0639325,295.74
:0639329,433.54
:0639331,295.74
:0639332,762.14
:0639334,401.74
:0639337,348.74
:0639340,444.14
:0639342,645.54
:0639343,709.14
:0639346,295.74
:0639348,253.34
:0639350,253.34
:0639352,316.94
:0639354,560.74
:0639356,762.14
:0639360,316.94
:0639362,221.54
:0639365,645.54
:0639367,200.34
:0639370,221.54
:0639372,221.54
:0639374,762.14
:0639376,401.74
:0639378,253.34
:0639380,295.74
:0639382,433.54
:0639384,762.14
:0639385,709.14
:0639388,645.54
:0639390,316.94
:0639393,253.34
:0639395,709.14
:0639396,401.74
:0639399,645.54
:0639402,433.54
:0639404,253.34
:0639406,295.74
:0639408,709.14
:0639410,295.74
:0639412,762.14
:0639414,295.74
:0639416,369.94
:0639418,316.94
:0639420,253.34
:0639422,359.34
:0639424,762.14
:0639426,709.14
:0639428,369.94
:0639430,348.74
:0639432,348.74
:0639434,359.34
:0639436,369.94
:0639438,709.14
:0639440,327.54
:0639441,221.54
:0639443,433.54
:0639446,327.54
:0639448,709.14
:0639450,327.54
:0639452,369.94
:0639454,359.34
:0639456,221.54
:0639458,327.54
:0639460,359.34
:0639462,221.54
:0639464,327.54
:0639466,327.54
:0639468,709.14
:0639470,709.14
:0639472,221.54
:0639474,221.54
:0639476,359.34
:0639478,359.34
:0639480,391.14
:0639482,433.54
:0639484,433.54
:0639486,369.94
:0639488,369.94
:0639490,603.14
:0639492,592.54
:0639494,348.74
:0639497,592.54
:0639499,380.54
:0639501,369.94
:0639503,603.14
:0639505,433.54
:0639506,327.54
:0639508,391.14
:0639510,348.74
:0639512,348.74
:0639514,359.34
:0639516,369.94
:0639517,433.54
:0639519,603.14
:0639521,348.74
:0639524,327.54
:0639526,348.74
:0639528,369.94
:0639529,433.54
:0639531,709.14
:0639533,603.14
:0639535,391.14
:0639537,433.54
:0639539,391.14
:0639541,603.14
:0639543,348.74
:0639545,369.94
:0639547,242.74
:0639549,327.54
:0639551,391.14
:0639553,380.54
:0639555,242.74
:0639558,380.54
:0639560,825.74
:0639563,391.14
:0639566,391.14
:0639568,603.14
:0639569,592.54
:0639571,380.54
:0639573,592.54
:0639575,242.74
:0639577,603.14
:0639579,391.14
:0639581,592.54
:0639583,348.74
:0639585,603.14
:0639587,348.74
:0639590,825.74
:0639592,825.74
:0639594,592.54
:0639596,380.54
:0639598,603.14
:0639600,380.54
:0639603,592.54
:0639605,348.74
:0639608,391.14
:0639610,825.74
:0639613,825.74
:0639614,825.74
:0639617,242.74
:0639618,783.34
:0639620,603.14
:0639622,518.34
:0639624,242.74
:0639626,592.54
:0639628,518.34
:0639630,380.54
:0639632,242.74
:0639634,783.34
:0639636,783.34
:0639638,518.34
:0639639,645.54
:0639641,242.74
:0639642,825.74
:0639645,645.54
:0639646,359.34
:0639648,783.34
:0639650,645.54
:0639652,825.74
:0639654,518.34
:0639655,825.74
:0639657,825.74
:0639659,380.54
:0639661,645.54
:0639663,645.54
:0639665,242.74
:0639667,592.54
:0639670,221.54
:0639671,783.34
:0639673,359.34
:0639675,221.54
:0639677,380.54
:0639679,359.34
:0639681,221.54
:0639683,391.14
:0639685,709.14
:0639687,369.94
:0639689,380.54
:0639691,369.94
:0639693,433.54
:0639695,592.54
:0639697,327.54
:0639699,656.14
:0639701,433.54
:0639703,709.14
:0639705,221.54
:0639707,221.54
:0639709,221.54
:0639711,359.34
:0639712,369.94
:0639714,221.54
:0639716,656.14
:0639718,380.54
:0639720,221.54
:0639722,380.54
:0639724,656.14
:0639726,656.14
:0639728,709.14
:0639730,656.14
:0639733,369.94
:0639737,380.54
:0639739,179.14
:0639740,221.54
:0639742,221.54
:0639744,709.14
:0639745,369.94
:0639747,221.54
:0639748,369.94
:0641634,359.34
:0641635,581.94
:0641636,677.34
:0641637,581.94
:0641638,359.34
:0641639,444.14
:0641643,592.54
:0641646,592.54
:0641648,359.34
:0641649,444.14
:0641651,454.74
:0641653,603.14
:0641656,454.74
:0641658,592.54
:0640663,232.14
:0640664,613.74
:0640665,295.74
:0640666,539.54
:0640667,232.14
:0640668,391.14
:0640669,539.54
:0640670,295.74
:0640671,232.14
:0640672,391.14
:0640673,391.14
:0640680,348.74
:0640681,391.14
:0640682,295.74
:0640684,295.74
:0640687,327.54
:0640689,369.94
:0640691,232.14
:0640693,232.14
:0640696,295.74
:0640698,369.94
:0640699,295.74
:0640701,327.54
:0640703,232.14
:0640705,316.94
:0640708,306.34
:0640710,306.34
:0640712,369.94
:0640714,422.94
:0640716,422.94
:0640718,422.94
:0640720,327.54
:0640721,306.34
:0640722,316.94
:0640726,242.74
:0640727,327.54
:0640730,242.74
:0640731,327.54
:0640733,306.34
:0640735,316.94
:0640737,306.34
:0640738,613.74
:0640740,306.34
:0640742,242.74
:0640744,316.94
:0640746,242.74
:0640748,613.74
:0640750,242.74
:0640752,613.74
:0640754,316.94
:0640756,327.54
:0640758,422.94
:0640759,391.14
:0640762,550.14
:0640764,242.74
:0640766,613.74
:0640768,316.94
:0640770,327.54
:0640772,316.94
:0640773,550.14
:0640776,316.94
:0640777,242.74
:0640780,550.14
:0640782,316.94
:0640784,348.74
:0640786,422.94
:0640789,327.54
:0640792,422.94
:0640794,348.74
:0640796,306.34
:0640799,285.14
:0640801,316.94
:0640804,327.54
:0640807,634.94
:0640808,613.74
:0640810,306.34
:0640812,422.94
:0640816,422.94
